x,y,z,q0,q1,q2,q3,U,Fx,Fy,Fz,Tx,Ty,Tz
   -2.416667    ,   -2.083333    ,   2.0833333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -2.304719319e-24                  ,8.162547588e-23 ,6.241948156e-23 ,-6.241948156e-23,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   2.2500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.784285354e-26                  ,6.319343964e-25 ,4.832439502e-25 ,-5.575891733e-25,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -2.083333    ,   2.4166667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -6.897904686e-29                  ,2.443007910e-27 ,1.868182519e-27 ,-2.443007910e-27,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -1.916667    ,   -2.416667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -4.449154942e-27                  ,1.575742375e-25 ,1.019598008e-25 ,1.575742375e-25 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -1.916667    ,   -2.250000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.150865714e-24                  ,4.075982738e-23 ,2.637400595e-23 ,3.596455357e-23 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -1.916667    ,   -2.083333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.486546106e-22                  ,5.264850791e-21 ,3.406668159e-21 ,4.026062369e-21 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -1.916667    ,   -1.916667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -9.588236216e-21                  ,3.395833660e-19 ,2.197304133e-19 ,2.197304133e-19 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -1.916667    ,   -1.750000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -3.088201829e-19                  ,1.093738148e-17 ,7.077129191e-18 ,5.790378429e-18 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -1.916667    ,   -1.583333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -4.966829326e-18                  ,1.759085386e-16 ,1.138231720e-16 ,7.243292767e-17 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -1.916667    ,   -1.416667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -3.988957483e-17                  ,1.412755775e-15 ,9.141360898e-16 ,4.155164044e-16 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -1.916667    ,   -1.250000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.599728153e-16                  ,5.665703873e-15 ,3.666043683e-15 ,9.998300953e-16 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -1.916667    ,   -1.083333    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -3.203609537e-16                  ,1.134611711e-14 ,7.341605190e-15 ,6.674186536e-16 ,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -1.916667    ,   -0.916667    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -3.203609537e-16                  ,1.134611711e-14 ,7.341605190e-15 ,-6.674186536e-16,   0.00000000   ,   0.00000000   ,   0.00000000   
   -2.416667    ,   -1.916667    ,   -0.750000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                 -1.599728153e-16                  ,5.665703873e-15 ,3.666043683e-15 ,-9.998300953e-16,   0.00000000   ,   0.00000000   ,   0.00000000   
